Table Name : Orderdetails 
Attributes : (`customerNumber`,`orderNumber`,`productCode`,`quantityOrdered`,`priceEach`,`orderLineNumber`)
(239,10175,'S24_2840',37,'32.18',2),
(489,10135,'S24_2360',29,'67.18',16),
(148,10250,'S700_3167',44,'76.00',10),
(141,10375,'S32_4289',44,'59.85',4),
(144,10209,'S72_1253',48,'44.20',3),
(487,10394,'S32_3207',30,'55.93',4),
(379,10348,'S24_2300',37,'107.34',1),
(480,10335,'S32_2509',40,'49.78',3),
(450,10169,'S24_3371',34,'53.27',1),
(496,10403,'S50_4713',31,'65.09',3),
(487,10364,'S32_2206',48,'38.22',1),
(278,10275,'S32_4289',28,'58.47',12),
(171,10208,'S24_2011',35,'122.89',7),
(323,10285,'S10_4698',27,'166.55',8),
(242,10272,'S18_4027',25,'126.39',5),
(381,10403,'S10_1678',24,'85.17',7),
(125,10288,'S24_1937',29,'32.19',1),
(456,10321,'S24_3432',21,'103.87',4),
(361,10227,'S18_3320',33,'99.21',1),
(293,10390,'S24_4620',30,'66.29',10),
(489,10304,'S18_3136',26,'90.06',8),
(489,10351,'S24_3949',34,'68.24',3),
(177,10355,'S24_3371',44,'60.62',6),
(328,10324,'S12_4473',26,'100.73',7),
(175,10285,'S10_1678',36,'95.70',6),
(489,10101,'S24_2022',46,'44.35',2),
(323,10363,'S24_4620',43,'75.99',9),
(333,10151,'S50_1392',26,'108.81',1),
(167,10203,'S24_3856',47,'140.43',3),
(167,10235,'S24_3949',33,'55.27',12),
(145,10145,'S18_2581',30,'71.81',14),
(260,10348,'S12_1108',48,'207.80',8),
(448,10284,'S24_1785',22,'101.76',3),
(320,10117,'S700_1938',38,'75.35',6),
(486,10228,'S24_4258',33,'84.73',6),
(240,10388,'S700_2834',50,'111.53',3),
(473,10320,'S12_1099',31,'184.84',3),
(242,10357,'S18_4600',28,'105.34',2),
(339,10361,'S700_4002',35,'62.19',11),
(177,10424,'S18_4668',26,'40.25',4),
(307,10363,'S24_2000',21,'70.08',8),
(481,10396,'S24_3151',27,'77.00',7),
(293,10403,'S18_3782',36,'55.33',1),
(362,10367,'S18_3685',46,'131.39',6),
(205,10287,'S12_4675',23,'107.10',9),
(450,10346,'S18_1342',42,'88.36',3),
(173,10156,'S700_1691',48,'77.64',2),
(172,10326,'S18_3259',32,'94.79',6),
(348,10293,'S18_4522',49,'72.85',3),
(353,10211,'S24_4620',22,'80.84',6),
(286,10122,'S18_1889',43,'62.37',6),
(141,10140,'S10_4962',26,'131.49',4),
(348,10259,'S32_1268',45,'95.35',11),
(347,10419,'S18_1984',34,'133.72',4),
(462,10122,'S18_1129',34,'114.65',2),
(443,10165,'S18_3259',50,'84.71',1),
(223,10332,'S24_2022',26,'43.01',10),
(458,10251,'S18_2625',44,'58.15',6),
(114,10198,'S24_2841',48,'60.97',5),
(324,10310,'S18_1129',37,'128.80',2),
(334,10297,'S24_2000',32,'70.08',1),
(452,10136,'S18_1129',25,'117.48',2),
(344,10321,'S12_4675',24,'105.95',15),
(489,10220,'S24_1444',26,'48.55',8),
(477,10341,'S12_2823',55,'120.50',8),
(211,10347,'S18_1367',21,'46.36',7),
(381,10284,'S24_3949',21,'65.51',10),
(250,10390,'S24_3371',46,'51.43',6),
(173,10211,'S24_3371',48,'52.66',1),
(187,10143,'S10_4757',49,'133.28',15),
(311,10212,'S18_3685',45,'115.85',8),
(131,10314,'S18_2238',42,'135.90',13),
(161,10354,'S24_1578',21,'96.92',5),
(242,10260,'S18_3140',32,'121.57',1),
(205,10373,'S72_1253',25,'44.20',9),
(412,10268,'S24_1937',33,'31.86',6),
(209,10235,'S700_1691',25,'88.60',8),
(242,10211,'S32_2206',41,'39.83',9),
(462,10305,'S24_2840',48,'30.76',6),
(303,10232,'S24_2011',46,'113.06',4),
(298,10386,'S72_1253',50,'47.67',16),
(347,10336,'S32_3207',31,'59.03',9),
(299,10236,'S10_2016',22,'105.86',1),
(112,10316,'S50_1341',34,'36.66',3),
(357,10412,'S24_2840',30,'32.88',6),
(333,10366,'S18_1984',34,'116.65',3),
(335,10401,'S700_2466',85,'98.72',10),
(328,10403,'S24_1578',46,'109.32',8),
(240,10299,'S10_4698',29,'164.61',11),
(415,10225,'S18_1129',32,'116.06',1),
(311,10287,'S18_3685',27,'139.87',2),
(286,10184,'S18_2432',44,'60.77',12),
(456,10398,'S700_1691',47,'78.55',6),
(273,10342,'S24_3371',48,'60.01',10),
(406,10159,'S18_3782',21,'54.71',8),
(201,10148,'S18_4933',29,'66.28',2),
(369,10110,'S24_3432',37,'96.37',14),
(239,10252,'S50_4713',48,'72.41',7),
(169,10220,'S12_3891',27,'166.10',1),
(465,10412,'S50_1392',26,'105.33',3),
(171,10272,'S32_3207',45,'56.55',6),
(328,10103,'S18_2957',35,'61.84',14),
(259,10264,'S32_4485',34,'100.01',7),
(166,10329,'S12_2823',24,'128.03',6),
(328,10416,'S24_2000',32,'62.46',1),
(206,10271,'S18_3232',20,'169.34',9),
(239,10148,'S18_3685',28,'135.63',11),
(205,10185,'S18_4522',47,'87.77',8),
(172,10259,'S10_4962',26,'121.15',12),
(475,10360,'S24_1785',22,'106.14',17),
(144,10425,'S18_2238',28,'147.36',3),
(328,10174,'S12_1666',43,'113.44',1),
(247,10386,'S72_3212',43,'52.42',4),
(202,10393,'S18_2319',38,'104.32',7),
(496,10420,'S24_1937',45,'32.19',1),
(381,10307,'S24_3420',22,'64.44',3),
(379,10210,'S700_3167',31,'64.00',13),
(298,10275,'S24_1785',25,'97.38',11),
(415,10141,'S18_2319',47,'103.09',8),
(398,10380,'S24_2022',27,'37.63',5),
(168,10407,'S24_1628',64,'45.78',10),
(361,10210,'S10_2016',23,'112.99',2),
(363,10223,'S24_1785',34,'87.54',11),
(314,10272,'S12_3891',39,'148.80',1),
(303,10234,'S24_3420',25,'65.09',3),
(412,10140,'S700_2824',36,'101.15',6),
(386,10162,'S24_3969',37,'32.82',7),
(172,10111,'S18_1342',33,'87.33',6),
(273,10250,'S50_1341',36,'36.66',8),
(141,10302,'S18_1749',43,'166.60',1),
(131,10278,'S18_1984',29,'118.07',5),
(424,10241,'S24_3432',27,'107.08',9),
(362,10120,'S700_3167',43,'72.00',14),
(362,10160,'S12_4675',50,'93.28',5),
(172,10404,'S18_4721',48,'124.99',8),
(186,10308,'S700_3167',21,'79.20',13),
(141,10342,'S24_2972',39,'30.59',9),
(362,10367,'S18_2248',45,'50.25',4),
(187,10365,'S18_1129',30,'116.06',1),
(273,10389,'S12_4675',47,'102.49',8),
(335,10383,'S32_2509',32,'53.57',5),
(475,10182,'S24_3969',23,'34.88',8),
(169,10159,'S24_4620',23,'80.84',6),
(314,10140,'S24_2300',47,'118.84',1),
(361,10313,'S32_3522',34,'55.59',10),
(124,10396,'S18_3140',33,'129.76',2),
(114,10425,'S18_2432',19,'48.62',10),
(382,10267,'S24_3432',43,'98.51',6),
(379,10208,'S72_3212',42,'48.05',6),
(103,10237,'S32_4485',27,'94.91',5),
(141,10278,'S24_1628',35,'48.80',1),
(286,10248,'S700_3505',30,'84.14',7),
(477,10175,'S700_2824',42,'80.92',11),
(458,10222,'S24_3151',47,'74.35',14),
(198,10155,'S700_4002',44,'70.33',3),
(175,10251,'S10_4698',43,'172.36',4),
(237,10161,'S24_3191',20,'72.77',4),
(361,10351,'S24_3420',38,'53.92',4),
(250,10104,'S32_2509',35,'51.95',11),
(141,10327,'S700_3505',43,'85.14',2),
(121,10193,'S18_1367',46,'46.36',6),
(144,10204,'S18_1984',38,'133.72',16),
(166,10167,'S72_3212',38,'43.68',15),
(328,10241,'S18_2248',33,'55.70',1),
(223,10254,'S24_1628',32,'43.27',13),
(452,10161,'S18_3685',36,'132.80',10),
(205,10204,'S18_4409',29,'83.75',5),
(376,10126,'S18_1367',42,'51.21',17),
(452,10373,'S700_3962',37,'83.42',8),
(381,10363,'S32_1374',50,'92.90',2),
(206,10275,'S10_2016',22,'115.37',4),
(356,10102,'S18_1342',39,'95.55',2),
(386,10263,'S10_2016',40,'107.05',5),
(357,10313,'S32_1268',27,'96.31',6),
(240,10261,'S72_3212',29,'43.68',7),
(223,10354,'S10_1678',42,'84.22',6),
(424,10361,'S700_2047',24,'85.99',14),
(250,10397,'S700_2610',22,'62.88',4),
(376,10168,'S18_2581',21,'75.19',9),
(448,10222,'S72_1253',31,'45.19',7),
(495,10306,'S24_3151',31,'76.12',2),
(487,10308,'S24_1785',31,'99.57',9),
(171,10381,'S10_4962',37,'138.88',6),
(157,10278,'S18_1589',23,'107.02',2),
(227,10160,'S18_1889',38,'70.84',4),
(124,10260,'S12_3148',30,'140.50',6),
(114,10131,'S18_1662',21,'141.92',4),
(348,10359,'S24_4048',22,'108.82',7),
(456,10163,'S18_2957',48,'59.96',4),
(299,10380,'S24_1937',32,'29.87',4),
(484,10399,'S10_2016',51,'99.91',7),
(481,10313,'S700_2824',30,'96.09',9),
(298,10378,'S24_3856',33,'129.20',3),
(382,10138,'S18_2248',22,'51.46',5),
(172,10222,'S24_3420',43,'61.15',6),
(452,10371,'S32_1268',26,'82.83',1),
(473,10378,'S24_2972',41,'30.59',7),
(307,10414,'S24_2011',43,'108.14',10),
(353,10263,'S10_4698',41,'193.66',4),
(489,10386,'S18_3856',22,'100.58',6),
(112,10296,'S24_3816',22,'83.02',14),
(173,10219,'S32_2509',35,'47.62',4),
(103,10173,'S24_3969',35,'35.70',11),
(484,10122,'S12_3990',32,'65.44',11),
(286,10350,'S72_3212',20,'48.05',15),
(480,10355,'S18_3482',23,'117.59',7),
(353,10390,'S32_2206',41,'39.02',11),
(459,10325,'S32_3207',28,'55.30',2),
(481,10172,'S24_3191',24,'77.91',2),
(276,10167,'S700_3962',28,'83.42',14),
(181,10167,'S700_1138',43,'66.00',12),
(166,10119,'S18_3029',21,'74.84',9),
(169,10287,'S18_3232',36,'137.17',5),
(249,10175,'S32_3522',29,'56.24',12),
(145,10189,'S12_2823',28,'138.57',1),
(369,10363,'S18_1889',22,'61.60',7),
(361,10420,'S24_3432',26,'104.94',12),
(314,10276,'S12_3380',47,'104.52',1),
(382,10285,'S50_4713',39,'76.48',2),
(458,10407,'S24_2887',59,'98.65',5),
(319,10140,'S10_1949',37,'186.44',11),
(480,10147,'S24_4620',31,'72.76',11),
(455,10167,'S700_2610',46,'62.16',10),
(412,10229,'S32_3522',30,'52.36',12),
(223,10253,'S12_1099',24,'157.60',13),
(129,10226,'S18_3685',46,'122.91',6),
(209,10297,'S32_4289',28,'63.29',7),
(173,10120,'S700_2466',24,'81.77',15),
(146,10182,'S18_1367',32,'44.21',2),
(321,10225,'S18_3232',43,'162.57',2),
(443,10196,'S700_1938',50,'84.88',2),
(157,10157,'S24_1785',40,'89.72',5),
(206,10104,'S12_4473',41,'111.39',9),
(233,10165,'S32_2509',48,'50.86',14),
(125,10329,'S12_3990',33,'74.21',14),
(303,10322,'S18_1367',41,'44.21',5),
(239,10273,'S10_4757',30,'136.00',4),
(282,10288,'S24_1046',36,'66.88',11),
(487,10195,'S24_1444',44,'54.33',3),
(348,10281,'S18_3232',25,'135.47',5),
(282,10419,'S18_1589',37,'100.80',1),
(172,10329,'S10_4698',26,'164.61',3),
(276,10110,'S24_3191',27,'80.47',12),
(496,10353,'S24_4278',35,'69.55',3),
(168,10150,'S10_4962',20,'121.15',1),
(227,10375,'S700_2466',33,'94.73',1),
(473,10235,'S700_3167',32,'73.60',9),
(171,10206,'S18_3136',30,'102.63',8),
(321,10210,'S18_1662',31,'141.92',17),
(227,10185,'S700_1138',21,'64.67',3),
(247,10377,'S18_1889',31,'61.60',4),
(278,10172,'S24_1628',34,'43.27',5),
(168,10405,'S12_4675',97,'115.16',5),
(350,10416,'S700_2834',41,'98.48',3),
(146,10266,'S24_1628',28,'40.25',1),
(250,10288,'S18_1589',20,'120.71',14),
(129,10165,'S18_2319',46,'120.28',15),
(471,10390,'S18_1984',34,'132.29',15),
(189,10280,'S24_3969',33,'35.29',14),
(344,10118,'S700_3505',36,'86.15',1),
(299,10340,'S32_4289',39,'67.41',3),
(202,10308,'S18_2581',27,'81.95',7),
(189,10192,'S24_2887',23,'112.74',1),
(376,10169,'S18_4721',33,'120.53',7),
(339,10266,'S12_3990',35,'67.83',15),
(189,10239,'S12_4675',21,'100.19',5),
(353,10120,'S10_2016',29,'118.94',3),
(198,10377,'S18_1984',36,'125.18',6),
(247,10142,'S700_3962',38,'91.37',4),
(452,10373,'S700_4002',45,'68.11',17),
(172,10296,'S700_3167',22,'74.40',3),
(361,10291,'S700_2824',28,'86.99',6),
(484,10214,'S24_1937',20,'32.19',3),
(369,10241,'S18_2870',44,'126.72',12),
(334,10138,'S24_3191',49,'77.05',11),
